##Musavir,,,
,,,
,,,
mission:design:range,214,NM,
mission:design:thrust_takeoff_per_eng,1825,lbf,
mission:landing:lift_coefficient_max,2,unitless,
mission:summary:cruise_mach,0.38,unitless,
mission:summary:fuel_flow_scaler,1,unitless,
mission:takeoff:lift_coefficient_max,3,unitless,
mission:takeoff:lift_over_drag,15,unitless,
aircraft:design:operating_mass,8598,lbm,
mission:design:gross_mass,14495,lbm,
,,,
,,,
,,,
settings:equations_of_motion,height_energy,,
settings:mass_method,FLOPS,,
